,creepsPerMinDeltas,goldPerMinDeltas,xpPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas
150,7.1,244.1,446,-1.2,-39.3
151,0.1,268.1,291.6,-0.9,-141.4
152,7.7,314.6,314.4,-0.2,7.25
153,1.3,175.5,256.3,-0.2,7.25
154,9,320.2,515.3,0.6,57.9
155,8.7,402.7,515.2,4.8,189.2
156,8.1,318.6,325.1,0.2,-7.25
157,1.3,198.5,231.1,0.2,-7.25
158,8.4,301.8,457.4,-0.6,-57.9
159,3.9,190.2,326,-4.8,-189.2
160,1,327.5,433,0.9,141.4
161,7,323.4,307.1,-0.65,-57.7
162,1.4,328.3,373.8,0.7,51.6
163,8.1,331.3,525.3,1.4,77.9
164,1.1,224.3,210.6,-0.65,-57.7
165,7.5,343.5,469.3,1.9,67.3
166,8.1,355.9,343.2,0.65,57.7
167,1.3,226.4,289.9,0.65,57.7
168,6.7,297,447.4,-1.4,-77.9
169,0.7,374.3,322.2,-0.7,-51.6
170,5.6,270.5,402,-1.9,-67.3
171,6.1,284.7,404.4,-1.6,-31.1
172,7.6,259.1,318.8,-1.2,-19.1
173,8.4,287.1,489.4,0.8,72.7
174,0.5,322,360,0.3,-9.9
175,1.2,149,250.2,-1.2,-19.1
176,0.2,233.9,369.9,-0.3,9.9
177,7.6,271,416.7,-0.8,-72.7
178,9.7,332.4,343.3,1.2,19.1
179,1.5,191.9,263.9,1.2,19.1
180,7.7,262.5,435.5,1.6,31.1
181,1.5,178.3,289.5,-0.1,30.2
182,0.2,302.3,366.4,-0.7,42.2
183,7.5,348.9,449.1,0.8,47.6
184,7.7,287.7,341.1,-0.1,30.2
185,8.8,300.3,496,-0.3,-2
186,0.9,306.1,324.2,0.7,-42.2
187,9.1,292.2,498,0.3,2
188,1.3,193.9,227.8,0.1,-30.2
189,8.1,270.6,342.4,0.1,-30.2
190,6.7,232.6,401.5,-0.8,-47.6
191,1.3,199.2,288.9,0.5,-33.66
192,5.6,320.7,365.1,0.5,-33.66
193,7.5,249,427,0.5,-33.66
194,1,298.3,332,0.5,-33.66
195,8.9,366,307.7,0.5,-33.66
196,0.6,203.5,266.8,-0.5,33.66
197,7.4,300.5,413.6,-0.5,33.66
198,6.2,286.6,461.4,-0.5,33.66
199,7.1,282.4,312.2,-0.5,33.66
200,0.5,401.5,435,-0.5,33.66
201,7.1,324.3,446.8,-1,-9.8
202,7.3,251.9,355.3,0,0
203,1.5,168.4,224.8,0,0
204,0.1,384.7,431.3,-0.6,50.5
205,6.8,268.2,407.8,0,0
206,0.7,287.3,380.8,0.6,-50.5
207,8.1,324.7,456.6,1,9.8
208,7.1,301.3,443.3,0,0
209,8.4,271.2,333.4,0,0
210,1.3,195.7,229.1,0,0
211,4.6,204.8,293,-3.3,-167.7
212,6.4,297.3,374.5,-0.1,-19.3
213,1,400.3,303,0.7,-50
214,4.3,302.7,289.2,-1.4,-48.8
215,1.2,199.1,169.3,-1.4,-48.8
216,1.6,240.1,252.3,1.4,48.8
217,0.3,349.4,353,-0.7,50
218,6.7,345.5,303.8,1.4,48.8
219,6.5,289,393.8,0.1,19.3
220,7.9,370.6,460.7,3.3,167.7
221,0.2,412.3,263,-0.1,-23.6
222,6.4,237.2,384.3,-1,-76.8
223,0.9,223,231.7,0.05,16.6
224,6.1,247.5,376.1,-0.7,-92.1
225,7.4,336.5,365.5,0.05,16.6
226,0.3,331.5,286.6,0.1,23.6
227,1.2,211.1,234.6,-0.05,-16.6
228,7.4,318,461.1,1,76.8
229,7,375.2,329.4,-0.05,-16.6
230,6.8,272.1,468.2,0.7,92.1
231,1.3,186.4,206.1,-0.45,-23.7
232,5.6,368.4,392,-2.4,-9.8
233,0.3,381.1,359.7,0,0
234,7.8,268.1,422.9,0,0
235,6.3,310,308.9,-0.45,-23.7
236,0.4,363.5,316.6,0,0
237,7.2,434.1,308.6,0.45,23.7
238,1.3,203.7,253.8,0.45,23.7
239,7.6,347.5,599.3,0,0
240,8,294.9,401.8,2.4,9.8
241,7.8,363.2,352.4,0.74,77.86
242,1.4,226.7,321.9,0.74,77.86
243,6.8,436.4,437.8,0.74,77.86
244,0.9,383.1,414.1,0.74,77.86
245,7.4,495.9,533.8,0.74,77.86
246,0.2,264.1,243.4,-0.74,-77.86
247,3.9,217.6,366.3,-0.74,-77.86
248,8.5,364.5,475.3,-0.74,-77.86
249,7.8,314.4,348.7,-0.74,-77.86
250,0.2,207.3,237,-0.74,-77.86
251,6.6,352.2,448.9,1,51.2
252,6.3,321.2,416.2,0.3,81.3
253,1.3,196.7,248.2,-0.45,-25.85
254,0.6,450.5,352.2,-0.1,62.1
255,7.1,280.3,276,-0.45,-25.85
256,0.7,298.6,290.1,0.1,-62.1
257,6,255.4,334.9,-0.3,-81.3
258,7.6,313.7,323.6,0.45,25.85
259,1.7,181.9,252.3,0.45,25.85
260,5.6,253.5,397.7,-1,-51.2
261,6.5,339,420.1,0.3,36.6
262,2.1,238.9,325.3,0.3,36.6
263,0.1,314.7,360,0.3,36.6
264,7.3,280.5,353.7,0.3,36.6
265,7.7,347.1,468.4,0.3,36.6
266,1.2,152.5,247.1,-0.3,-36.6
267,6.9,260.5,333.5,-0.3,-36.6
268,0.8,321.3,348.2,-0.3,-36.6
269,7.3,341,416.1,-0.3,-36.6
270,6,230.3,399.6,-0.3,-36.6
271,7,282.5,431.2,0.36,77
272,1.3,269.3,297.4,0.36,77
273,5.7,334.2,463.3,0.36,77
274,6.7,377.4,355.6,0.36,77
275,1.7,395,383.9,0.36,77
276,1.5,175.4,262.2,-0.36,-77
277,5.7,262.9,219.2,-0.36,-77
278,0.5,265.1,272.4,-0.36,-77
279,6.3,339.9,402.3,-0.36,-77
280,6.6,266,390.3,-0.36,-77
281,1.3,270.4,275.3,0.7,32.5
282,9.1,287.3,468.7,0,0
283,6.8,354.6,318.1,0.7,32.5
284,6.5,226.9,418.7,0,0
285,0.2,278.5,312.6,-0.7,-46.1
286,8.7,302.5,498.1,0,0
287,0.8,254.6,292.3,-0.7,-32.5
288,0.9,348.2,358.7,0.7,46.1
289,5.9,214.9,236.1,-0.7,-32.5
290,8.4,355.8,489.2,0,0
291,6.6,273.5,381.8,0.6,-33.84
292,7.9,344,438.3,0.6,-33.84
293,6.8,236.8,411.9,0.6,-33.84
294,1,363.5,273.7,0.6,-33.84
295,0.4,235.3,286.6,0.6,-33.84
296,8.1,312.8,361.7,-0.6,33.84
297,5.4,336.3,485.8,-0.6,33.84
298,1.2,213.9,310.1,-0.6,33.84
299,3.6,325.6,391.9,-0.6,33.84
300,1.4,438.8,412,-0.6,33.84
301,7.8,263,333.9,-0.6,-26.9
302,0.2,351.5,368.4,-1.7,-217
303,8.5,369,504.5,0,0
304,5.7,407,447.8,0,0
305,0.5,184.8,277.5,-0.6,-26.9
306,9.1,313.1,370.3,0.6,26.9
307,0.4,211.5,294.9,0.6,26.9
308,1.9,516,585.4,1.7,217
309,4.2,334.9,387.7,0,0
310,6.8,244.1,403.4,0,0
311,1.4,186,252.7,-0.25,14.3
312,8.2,278.7,428.8,0,0
313,0.1,292,299.1,-0.2,-75.4
314,7.6,291.8,450.8,0,0
315,8,287.6,344.6,-0.25,14.3
316,1.2,158.3,262.1,0.25,-14.3
317,8.7,275.1,306.6,0.25,-14.3
318,0.3,371.9,374.5,0.2,75.4
319,6.2,287.8,397.7,0,0
320,7.7,288.5,473.8,0,0
321,6.9,325.6,534.4,0,0
322,6.8,289.4,275.4,0,0
323,7.6,276.6,499,0,0
324,1.8,191.9,255.6,0,0
325,0.4,289.1,304.6,0,0
326,8.1,304.8,471.3,0,0
327,0.3,260.8,321.2,0,0
328,8.2,374.1,336.9,0,0
