,creepsPerMinDeltas,goldPerMinDeltas,xpPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas
4901,1,393.2,346.6,0.2,34
4902,5.5,218.9,335.4,-0.4,-101
4903,8.1,358.9,317.8,0.25,18.25
4904,4.7,317.1,291.8,-1.2,-106.3
4905,1.3,202.1,267,0.25,18.25
4906,0.8,388.5,312.6,-0.2,-34
4907,1.3,152.7,210.9,-0.25,-18.25
4908,5.9,298.9,436.4,0.4,101
4909,5.9,330.6,398.1,1.2,106.3
4910,7.6,303.1,337.4,-0.25,-18.25
4911,7.9,320.6,306.7,0,0
4912,1.4,170.1,301.5,0,0
4913,1.5,300.6,394.4,0.7,104.5
4914,5.5,305.6,441.1,0,0
4915,7.4,246.2,385.6,-0.2,-115.9
4916,7.2,269.6,319,0,0
4917,0.8,366.5,289.9,-0.7,-104.5
4918,7.6,371,501.5,0.2,115.9
4919,0.7,221,277.3,0,0
4920,6.8,323.9,455.8,0,0
4921,0,0,0,0,0
4922,0,0,0,0,0
4923,0,0,0,0,0
4924,0,0,0,0,0
4925,0,0,0,0,0
4926,0,0,0,0,0
4927,0,0,0,0,0
4928,0,0,0,0,0
4929,0,0,0,0,0
4930,0,0,0,0,0
4931,0.7,247.5,294,0.4,-69.8
4932,7.1,245.3,414.5,-0.3,-45.7
4933,1.1,189.1,248.9,0.7,31.45
4934,7.7,294,479.4,-1,23.5
4935,8.4,376.5,406,0.7,31.45
4936,0.3,344.8,363.8,-0.4,69.8
4937,1.5,223.9,288.2,-0.7,-31.45
4938,7.4,313.7,460.2,0.3,45.7
4939,6.6,298.1,303.8,-0.7,-31.45
4940,8.7,333.7,455.9,1,-23.5
4941,4.7,222.9,359,-0.3,-25.8
4942,0,123,41.7,-0.3,-25.8
4943,0.7,407.9,425.6,-0.3,-25.8
4944,8,262.7,433.7,-0.3,-25.8
4945,6.5,368.6,443,-0.3,-25.8
4946,8.1,315.3,476.4,0.3,25.8
4947,7.8,482.6,371.8,0.3,25.8
4948,1.3,290.7,297,0.3,25.8
4949,3.7,268.7,365,0.3,25.8
4950,0.5,381.3,321.8,0.3,25.8
4951,1.5,194.9,271.9,-0.7,5.15
4952,1.7,339.6,411.6,1.6,77.1
4953,6.8,341.8,439.4,-1.6,-40.6
4954,7.2,327.7,450.6,0.9,40.2
4955,7.1,249.4,319.4,-0.7,5.15
4956,8.8,354.4,330.7,0.7,-5.15
4957,1.2,193.5,250.3,0.7,-5.15
4958,8.4,376.2,480,1.6,40.6
4959,6.3,233.1,410.4,-0.9,-40.2
4960,0.1,265.8,334.5,-1.6,-77.1
4961,0.3,368.1,339.5,0.46,73.18
4962,7.5,310.4,344.5,0.46,73.18
4963,7.8,424.9,515.5,0.46,73.18
4964,1.2,245.2,286.3,0.46,73.18
4965,5.2,339.4,440.8,0.46,73.18
4966,0.4,252.1,253.2,-0.46,-73.18
4967,6.9,340.9,429,-0.46,-73.18
4968,6,213.3,289.5,-0.46,-73.18
4969,1.3,141.9,200.5,-0.46,-73.18
4970,5.1,222.4,388.5,-0.46,-73.18
4971,0.1,275.8,287.1,-0.3,-16.2
4972,6.5,512.9,532,1.2,158.1
4973,7.7,297.5,443.3,0.8,16.4
4974,6.8,352.6,325.7,-0.45,-69.4
4975,1.1,190.7,211.9,-0.45,-69.4
4976,6.9,272.4,426.9,-0.8,-16.4
4977,0.4,299,303.3,0.3,16.2
4978,1.6,297.4,276.9,0.45,69.4
4979,5.3,324.1,373.9,-1.2,-158.1
4980,7.2,352.2,399.5,0.45,69.4
4981,6.3,327.4,383.5,0,0
4982,1,252,254.8,0,0
4983,0.8,317.7,230.3,0,0
4984,5.2,348.1,286.6,0,0
4985,6.8,302.5,449.1,0,0
4986,1.6,323.3,243.1,0,0
4987,4,245,376.6,0,0
4988,0.5,378.6,336.5,0,0
4989,6.2,348.5,270.1,0,0
4990,5,318.4,356.9,0,0
4991,8.6,287.8,464.3,0,0
4992,6.5,357.5,274.2,-0.9,-19.55
4993,0,267.8,306.3,0,0
4994,6.3,252,350,-1.2,-89.3
4995,1.2,172.1,269.5,-0.9,-19.55
4996,8.1,295,318.1,0.9,19.55
4997,0.7,357.1,356.1,0,0
4998,7.5,328.2,439.3,1.2,89.3
4999,6.7,339.4,466.5,0,0
5000,1.4,173.3,264.7,0.9,19.55
5001,1,456.9,637.3,-0.26,-42.8
5002,1.3,503.2,675.2,-0.26,-42.8
5003,2.9,446.4,703.2,-0.26,-42.8
5004,3.5,505.6,715.4,-0.26,-42.8
5005,1.8,446.3,689,-0.26,-42.8
5006,3.8,550.8,769.7,0.26,42.8
5007,2.4,430,671.5,0.26,42.8
5008,3,517.8,797.4,0.26,42.8
5009,0.9,536.8,698.4,0.26,42.8
5010,1.7,466.2,697.1,0.26,42.8
5011,5.9,239.5,400.1,-4.45,-98.3
5012,0.6,313.3,342.3,-4.45,-98.3
5013,6.7,248.8,462.2,0,0
5014,1,145.7,244,0,0
5015,8.2,268.8,322.8,0,0
5016,7.9,312.9,466.8,4.45,98.3
5017,7.5,277.2,472.2,4.45,98.3
5018,0.1,192.4,267.7,0,0
5019,0.6,328.2,274.1,0,0
5020,8.3,276.6,314.6,0,0
5021,8.4,344.3,368,0,0
5022,1.4,235.5,268.9,0,0
5023,6.4,259.9,391.7,1,-120.8
5024,6.4,267.1,417.7,0.2,-10.7
5025,0.3,284.1,298.9,0,0
5026,0.2,329.7,345.4,0,0
5027,6.2,258,428.4,-0.2,10.7
5028,1.2,173,271.2,0,0
5029,5.4,291.3,512.5,-1,120.8
5030,7.6,299.4,356,0,0
5031,0.8,222.9,258.1,0,-117.6
5032,5,212.3,252.8,-1.8,-93
5033,7.1,322.9,450.5,-0.6,-38.2
5034,7.5,255.9,437.3,0.4,-51.1
5035,1.1,170.6,171.7,-1.8,-93
5036,8.1,455.1,329.1,1.8,93
5037,7.7,430.9,488.7,0.6,38.2
5038,0.8,349.8,375.7,0,117.6
5039,1.6,226.9,281.4,1.8,93
5040,7.1,264.8,488.4,-0.4,51.1
5041,4.9,217.3,184.2,0,0
5042,0.9,176.2,223.9,0,0
5043,6.7,291.8,488.1,0.8,44.1
5044,0.3,249.7,232.3,-0.8,-166.9
5045,5.4,252.4,314.4,0,0
5046,1.1,398.6,399.2,0.8,166.9
5047,6,506.7,456.9,0,0
5048,1.2,235.8,162.8,0,0
5049,6.7,429.2,394.8,0,0
5050,5.9,263.9,444,-0.8,-44.1
5051,1.6,328.1,412,1.3,-1.3
5052,1.2,166.6,259.9,0.15,26.45
5053,7.8,271.6,330.7,0.15,26.45
5054,7.4,336.3,500.9,3.1,178.1
5055,6.4,242,388.7,-1.2,-74.9
5056,4.3,183.8,322.8,-3.1,-178.1
5057,0.3,333.9,413.3,-1.3,1.3
5058,7.6,317.7,463.6,1.2,74.9
5059,7.2,277.8,274.8,-0.15,-26.45
5060,1.5,162.6,262.9,-0.15,-26.45
5061,0.1,298,344.6,0.4,14.6
5062,8.1,284,448.2,0.4,14.6
5063,0.3,186.6,287,0.4,14.6
5064,8.6,288,321.5,0.4,14.6
5065,6.9,316.8,418,0.4,14.6
5066,7.8,256.2,267.1,-0.4,-14.6
5067,6.9,253.3,428.8,-0.4,-14.6
5068,6.1,309.7,390,-0.4,-14.6
5069,0.1,138.2,229.6,-0.4,-14.6
5070,1.1,294.2,430.8,-0.4,-14.6
5071,9.3,403.8,533.6,2.8,133.3
5072,5.1,255.9,268.9,-1.85,-99.9
5073,8.1,364.8,496.7,-4.44E-16,3.5
5074,1.7,238.1,230.7,-1.85,-99.9
5075,0.9,278,379.6,0.4,75
5076,6.5,277.7,400.3,-2.8,-133.3
5077,0.5,327.7,304.6,-0.4,-75
5078,8.1,331.9,493.2,4.44E-16,-3.5
5079,2.6,271.3,328.8,1.85,99.9
5080,7.9,469,370.6,1.85,99.9
5081,5.1,197.6,308.9,-1.12,-81.04
5082,0.2,329.1,361.3,-1.12,-81.04
5083,5.5,231.5,372.4,-1.12,-81.04
5084,1.6,200,261,-1.12,-81.04
5085,5.9,291.9,268.4,-1.12,-81.04
5086,8.7,369.7,446.4,1.12,81.04
5087,1.8,236.5,270.5,1.12,81.04
5088,6.9,382.9,340.1,1.12,81.04
5089,6.1,343.1,531.6,1.12,81.04
5090,0.4,307.9,388.6,1.12,81.04
5091,5.1,253.5,349.5,0,0
5092,1.1,244.9,290.8,1.45,61.95
5093,7.9,488.4,364.4,1.45,61.95
5094,1.5,369.1,390.2,0,0
5095,7.8,375.1,507.4,1.2,97.8
5096,6.6,346.7,409.6,-1.2,-97.8
5097,1.4,272.1,350.6,0,0
5098,5.8,327.9,354.9,0,0
5099,1,182.6,266.6,-1.45,-61.95
5100,5.1,266.6,264.7,-1.45,-61.95
5101,0.2,341.8,369.1,0.1,127
5102,6.8,355,438.6,-0.6,10.9
5103,6.6,298.4,444.2,1.4,48.1
5104,1.4,196.9,199.3,0.75,-9.7
5105,5.6,361.7,270.5,0.75,-9.7
5106,4.5,511.8,263.7,-0.75,9.7
5107,1,242.7,225.5,-0.75,9.7
5108,5.2,236.4,396.1,-1.4,-48.1
5109,7.4,282.3,427.7,0.6,-10.9
5110,0.1,225.8,242.1,-0.1,-127
5111,0.5,301.8,356.5,0.4,9.8
5112,6.9,281.6,422.6,0.1,-40.8
5113,1.2,242.1,234.1,1.55,55.1
5114,7.7,448,334.1,1.55,55.1
5115,5.9,297.8,460.1,0.1,82.9
5116,5.8,259.5,377.2,-0.1,-82.9
5117,6.8,369.8,463.4,-0.1,40.8
5118,5.4,255,289.3,-1.55,-55.1
5119,0.4,246.9,168.7,-1.55,-55.1
5120,0.1,323.7,346.7,-0.4,-9.8
5121,6.9,421.3,564.5,3,211.8
5122,6.2,303.3,419.8,0,0
5123,9.3,410.9,376.4,0,0
5124,1.6,209.8,292.7,0,0
5125,0.9,373.5,332.5,0.6,17.3
5126,0.3,244.3,315.2,-0.6,-17.3
5127,8.6,275.9,459.6,0,0
5128,7.7,261,292.2,0,0
5129,3.9,283.3,352.7,-3,-211.8
5130,1.5,210.4,253.2,0,0
5131,6.8,347.8,437.3,0,0
5132,5.3,378.6,369.7,0,0
5133,1.1,500,374.3,-0.2,-42.8
5134,7.7,313.6,332.4,0.55,22.1
5135,0.7,296.7,249.7,0.55,22.1
5136,7.2,255.3,264,-0.55,-22.1
5137,0.1,194.1,273.9,-0.55,-22.1
5138,1.3,374.7,417.1,0.2,42.8
5139,4,362.5,350.8,0,0
5140,4.3,272,329.5,0,0
5141,7.8,263.8,425.1,2.9,26.8
5142,7.6,244.6,408.7,-0.1,-64.5
5143,7.9,308.9,357.3,0.9,-37.55
5144,1.6,169.8,183.7,0.9,-37.55
5145,0.3,300.7,289.3,0.2,-51.9
5146,7.7,388.3,473.2,0.1,64.5
5147,0.1,400.6,341.2,-0.2,51.9
5148,4.9,252.2,398.3,-2.9,-26.8
5149,1.2,271.6,283.8,-0.9,37.55
5150,6.5,317.2,332.3,-0.9,37.55
5151,0,0,0,0,0
5152,0,0,0,0,0
5153,0,0,0,0,0
5154,0,0,0,0,0
5155,0,0,0,0,0
5156,0,0,0,0,0
5157,0,0,0,0,0
5158,0,0,0,0,0
5159,0,0,0,0,0
5160,0,0,0,0,0
5161,7.6,386,484.7,4,76.4
5162,5.7,227.2,434.3,-3.4,-62.5
5163,1.6,526.3,525.5,1.1,207
5164,1.1,199.4,255,-2.45,-52.75
5165,4.2,241.6,263.3,-2.45,-52.75
5166,3.6,208.3,408.3,-4,-76.4
5167,9,412.3,339.8,2.45,52.75
5168,1.2,231.7,284,2.45,52.75
5169,9.1,299.5,496.8,3.4,62.5
5170,0.5,334.6,318.5,-1.1,-207
5171,5.6,224.6,260.6,-1.65,-70.8
5172,5.5,323.9,453.4,0.6,63
5173,0.7,359.9,399.8,-0.6,15.1
5174,0.3,228.8,204.1,-1.65,-70.8
5175,8.8,296.3,439.4,1.5,3.8
5176,4.9,205.1,390.4,-0.6,-63
5177,7.3,313.1,435.6,-1.5,-3.8
5178,1.3,323,384.7,0.6,-15.1
5179,1.3,237,266.1,1.65,70.8
5180,7.9,417.5,340.2,1.65,70.8
5181,8.6,381.9,313,0,0
5182,0,282.8,326,-0.1,28.9
5183,0.1,180.3,246.4,-4.4,-145.95
5184,5,305.7,343.7,0,0
5185,8.1,262.7,458.9,-4.4,-145.95
5186,7.5,317.4,361.7,0,0
5187,1.6,264.3,270,0,0
5188,0.1,280.7,297.1,0.1,-28.9
5189,9.4,380.7,493.9,4.4,145.95
5190,7.6,438.8,503.3,4.4,145.95
5191,6.3,314.1,307,-0.7,10.3
5192,8.4,311.3,476.6,0,0
5193,9.1,336.9,470.5,0,0
5194,0.1,259.1,303.7,0,-18.2
5195,1.6,226.7,336,-0.7,10.3
5196,2.1,215.2,323.6,0.7,-10.3
5197,7.2,259.2,298.8,0.7,-10.3
5198,6.1,220.1,426,0,0
5199,8.4,268.8,514.8,0,0
5200,0.1,251.6,321.9,0,18.2
5201,8.1,338.2,322.2,0.55,-3.85
5202,1.1,170.7,250.9,0.55,-3.85
5203,9.1,326.3,489.9,1.5,46.5
5204,0.7,300.6,325.5,-0.4,-93.4
5205,9,348.6,459.1,1.1,29.8
5206,7.9,306,429.3,-1.1,-29.8
5207,0.6,202.4,207.6,-0.55,3.85
5208,7.6,276.7,443.4,-1.5,-46.5
5209,7.5,279.8,373.2,-0.55,3.85
5210,1.1,391.1,418.9,0.4,93.4
5211,9.2,330.1,377.4,0.08,3.68
5212,1.5,187.7,236,0.08,3.68
5213,7.9,257.3,464.5,0.08,3.68
5214,7.1,305.5,401.2,0.08,3.68
5215,0.3,303.4,335.9,0.08,3.68
5216,1.3,164,203.3,-0.08,-3.68
5217,7.7,302.3,396.1,-0.08,-3.68
5218,0.1,319,341.5,-0.08,-3.68
5219,9.6,320.5,521,-0.08,-3.68
5220,6.9,236.7,334.7,-0.08,-3.68
5221,6.3,271.6,452.4,0,0
5222,1.4,441.8,407.5,1.1,41.1
5223,1.1,338.1,279.2,1.5,64
5224,7.2,320.3,308.5,1.5,64
5225,7.8,290.1,450.9,0,0
5226,7.7,326.9,490.2,0,0
5227,0.3,360.2,366.4,-1.1,-41.1
5228,7.6,276.4,434.5,0,0
5229,0.9,194.4,216.2,-1.5,-64
5230,4.4,255.6,243.5,-1.5,-64
5231,1.5,267.3,276.2,-1.35,-96
5232,4.7,289.2,224.3,-1.35,-96
5233,7.6,372.4,478.8,-0.1,-16.7
5234,0.9,278,365.9,0,0
5235,4.8,302.6,425.7,0,0
5236,7.7,375.2,495.5,0.1,16.7
5237,7.9,477,441.1,1.35,96
5238,1,235.4,251.4,1.35,96
5239,0.2,349.4,314.3,0,0
5240,5.7,220.2,397,0,0
5241,8.2,397.7,335,1.15,9.65
5242,1.1,254.4,305.1,1.15,9.65
5243,6.7,274.3,374.4,-0.9,-73
5244,3.1,198.7,286.4,-4.7,-181
5245,1,301.7,360.7,0.6,50.3
5246,7.8,411.5,467.4,4.7,181
5247,0.7,209.5,238,-1.15,-9.65
5248,6.3,351.1,382.8,-1.15,-9.65
5249,7.6,295.9,447.4,0.9,73
5250,0.4,336.5,310.4,-0.6,-50.3
5251,7.4,300.9,353.9,0,0
5252,0.3,354.8,381.6,-0.4,-37.5
5253,8.7,322.3,476.7,0,0
5254,9.9,332.8,500.5,4.3,-5.5
5255,0.3,258.2,220.3,0,0
5256,5.6,223.4,506,-4.3,5.5
5257,0.7,301.2,419.1,0.4,37.5
5258,8.5,263.3,426.6,0,0
5259,8.7,389.2,311.6,0,0
5260,1.1,185.2,229.8,0,0
5261,1.4,486.8,792.6,0.54,69.36
5262,2.4,539.2,703,0.54,69.36
5263,2,618.6,799.2,0.54,69.36
5264,3.9,660.3,895.2,0.54,69.36
5265,1.8,503.4,810.4,0.54,69.36
5266,0.7,615,819.1,-0.54,-69.36
5267,1.4,545.2,607.5,-0.54,-69.36
5268,1.2,470.4,815.6,-0.54,-69.36
5269,2.5,460.2,690.7,-0.54,-69.36
5270,3,500.1,720.7,-0.54,-69.36
5271,5.1,396.7,345,0,0
5272,6.1,234.5,474.2,0,0
5273,0.6,389.1,288.4,0.1,-79.6
5274,1.2,240.6,204.3,0,0
5275,7.6,295.3,450.1,-1.3,-22.7
5276,0.5,414.2,368,-0.1,79.6
5277,8.3,378.5,503.6,0,0
5278,1.5,360.4,265.9,0,0
5279,5.8,419.5,387.8,0,0
5280,8.9,360.3,472.8,1.3,22.7
5281,6.6,379.8,453.2,1.2,35.3
5282,0.6,313,305.4,0.5,-38.3
5283,1.2,214.7,270.3,0.45,-30.65
5284,7.5,284.7,353,0.45,-30.65
5285,6.3,228.3,430.7,-1.9,-3.1
5286,6.4,408.6,335.4,-0.45,30.65
5287,1.4,307.8,349.2,-0.45,30.65
5288,8.2,289.7,433.8,1.9,3.1
5289,5.4,328.1,417.9,-1.2,-35.3
5290,0.1,311.1,343.7,-0.5,38.3
5291,6.4,314.1,474.4,0,0
5292,0.7,338.4,353.7,0,0
5293,7.1,301.9,323.8,-1.35,21.75
5294,6.6,294.7,431.7,8.88E-16,37.1
5295,1.3,251.1,310,-1.35,21.75
5296,5.6,250.9,385.8,0,0
5297,6.6,268.2,394.6,-8.88E-16,-37.1
5298,1.5,293.7,317.5,0,0
5299,1.4,173.1,246.2,1.35,-21.75
5300,9.7,372.8,344.1,1.35,-21.75
5301,1.2,234.4,270.2,1.4,101.12
5302,0.2,440.2,384.7,1.4,101.12
5303,7.1,507.9,491.4,1.4,101.12
5304,8.9,443.1,487.1,1.4,101.12
5305,8.6,356.3,350.4,1.4,101.12
5306,5.5,254.7,313.8,-1.4,-101.12
5307,3,226.1,266.3,-1.4,-101.12
5308,8.2,345.7,342.8,-1.4,-101.12
5309,1.2,207.1,243.2,-1.4,-101.12
5310,1.1,324.4,312.1,-1.4,-101.12
5311,2.7,591.2,673.7,0,0
5312,3.7,499,747.6,0,0
5313,0.7,415.7,790.7,0,0
5314,2.3,537,688.6,0,0
5315,0.6,426.3,593.4,0,0
5316,1.6,514.7,736.1,0,0
5317,2.3,649.6,683.5,0,0
5318,3.6,524.3,703.5,0,0
5319,1.3,507.3,813.6,0,0
5320,3.1,474.7,718.6,0,0
5321,4.9,342.2,370.5,-3.7,-108.8
5322,1.4,169.3,278,0,0
5323,6.7,267.7,321,0,0
5324,6.8,250.3,431.8,0,0
5325,0.5,374.3,306.5,-1.2,-108.9
5326,1.7,416.8,415.4,1.2,108.9
5327,5.3,358.7,304.6,0,0
5328,1.4,187.2,333.5,0,0
5329,8.3,293.8,482.4,0,0
5330,8.6,381.3,479.3,3.7,108.8
5331,7.2,378,457.3,0,0
5332,6.2,410.7,313.5,0,0
5333,0.4,409,353.6,-0.6,-11.2
5334,1.2,264.2,246.6,0,0
5335,8.2,520.5,459.3,0,0
5336,4.7,323.7,488.2,0,0
5337,5.3,328.7,393.4,0,0
5338,1.8,220.8,301.1,0,0
5339,7.4,397.2,346.5,0,0
5340,1,463.7,364.8,0.6,11.2
5341,1.5,238.9,264.7,0,0
5342,4.1,252.2,333,-1.3,-54.3
5343,5.1,282.8,267.9,0,0
5344,0.3,401,343.5,0.1,23.1
5345,6.6,351.9,430.1,0,0
5346,5.4,343,387.3,1.3,54.3
5347,6.6,461.6,500.5,0,0
5348,0.2,322.3,320.4,-0.1,-23.1
5349,1.6,266.3,299.5,0,0
5350,6.7,391.9,328.3,0,0
5351,8.3,312.1,450.1,-1.2,-78.2
5352,1.5,201.6,240.8,0,0
5353,0.3,252.3,256.4,0.1,-89.4
5354,6.9,273.7,451.9,0,0
5355,8.7,344.4,351.2,0,0
5356,0.7,128.4,138.3,0,0
5357,8.3,259.8,381.4,0,0
5358,0.2,343.7,345.8,-0.1,89.4
5359,6.8,324.7,442.5,0,0
5360,9.5,430.3,528.3,1.2,78.2
5361,2.4,508.8,712.5,0,0
5362,5,630.2,709.9,0,0
5363,0.8,485.6,657.1,0,0
5364,0.4,455.4,722.2,0,0
5365,2.1,583.5,772.4,0,0
5366,1.5,581,832.5,0,0
5367,2.7,545.3,787.1,0,0
5368,4,508.2,794.8,0,0
5369,1.6,682.8,764.4,0,0
5370,2.3,481.1,757.4,0,0
5371,4.8,283.1,286.3,0,0
5372,7.3,454.2,431.7,0,0
5373,0.6,278.7,333.6,0.4,77.8
5374,6.5,357,444,0,0
5375,1.6,278.9,296,0,0
5376,6,242.3,340.1,0,0
5377,0.8,263.9,172.2,0,0
5378,5.3,277.1,395.2,0,0
5379,6.9,375.3,329.7,0,0
5380,0.2,310.1,255.8,-0.4,-77.8
5381,0.2,277.3,320.1,-0.4,-116.1
5382,6.6,290.4,286.7,-0.55,-20.95
5383,2.2,208.8,285.4,-0.55,-20.95
5384,7.8,311.8,457.2,-0.2,-19.3
5385,8.6,390.2,464.4,1.4,37.4
5386,7.2,290.2,427,-1.4,-37.4
5387,7.9,308.3,335.6,0.55,20.95
5388,8,373.9,476.5,0.2,19.3
5389,2,267.9,278.4,0.55,20.95
5390,0.6,363.5,436.2,0.4,116.1
5391,0.3,249.1,255.9,-0.25,31.05
5392,6.6,371.7,342.4,-0.25,31.05
5393,6.1,235.8,448.6,-1.8,-21.8
5394,1.4,315.2,385.3,0.5,41.5
5395,6.5,280.8,413.6,-0.2,-9.9
5396,5.5,293.4,273.4,0.25,-31.05
5397,1.9,178.1,262.8,0.25,-31.05
5398,0.9,305.5,343.8,-0.5,-41.5
5399,7.9,303.3,470.4,1.8,21.8
5400,6.7,303.4,423.5,0.2,9.9
5401,7.6,284.7,428.1,0,0
5402,9.1,329,368.7,0.85,34.1
5403,1.2,195.8,264.3,0.85,34.1
5404,7.1,322.4,454.2,0,0
5405,1,355.6,372.9,0.9,72.3
5406,0.1,234,300.6,-0.9,-72.3
5407,8,268.2,287,-0.85,-34.1
5408,0.6,192.5,277.8,-0.85,-34.1
5409,8.1,373.9,463.4,0,0
5410,7,351.6,452.4,0,0
5411,6,343.5,446.6,0.58,54.96
5412,0.8,324.1,375.8,0.58,54.96
5413,7.5,352.2,459.3,0.58,54.96
5414,1.4,330.9,287.3,0.58,54.96
5415,6.9,492.6,341.1,0.58,54.96
5416,6.3,320,431.8,-0.58,-54.96
5417,0.7,158.4,193.1,-0.58,-54.96
5418,5.5,243.1,220.5,-0.58,-54.96
5419,7.1,325.8,449.8,-0.58,-54.96
5420,0.1,329.7,340.1,-0.58,-54.96
5421,7.5,292,463.7,0,0
5422,7.4,370.4,353.1,-0.55,36.95
5423,1.4,259.4,323.7,-0.55,36.95
5424,6.8,272.2,428.7,0,0
5425,0,289,374.8,-0.1,32.9
5426,6.4,316.7,426.8,0,0
5427,0.1,310.3,341.9,0.1,-32.9
5428,9,373.9,549.8,0,0
5429,1.4,272.7,265,0.55,-36.95
5430,8.5,365.6,337.9,0.55,-36.95
5431,6.7,327.4,414.5,0.1,-2.8
5432,8.5,292.1,352.7,-0.8,-47.15
5433,0.4,241.9,303.8,0.1,-30
5434,7.6,340.1,458.2,1.1,102.4
5435,0.4,183.8,220.1,-0.8,-47.15
5436,6.6,282.4,417.3,-0.1,2.8
5437,6.5,253.2,355.8,-1.1,-102.4
5438,9.2,332.2,349.3,0.8,47.15
5439,0.3,282.4,333.8,-0.1,30
5440,1.3,211.9,317.8,0.8,47.15
5441,1.7,209.8,268.7,0.55,-4.45
5442,0.7,392.7,367.5,0,0
5443,6.7,346.6,407.3,-1.1,-85.6
5444,6.3,213.6,417.6,0,0
5445,7.9,272,314.4,0.55,-4.45
5446,7.8,402.9,492.9,1.1,85.6
5447,7.3,313,335.6,-0.55,4.45
5448,7.6,329.9,546.9,0,0
5449,1.2,218.1,256.4,-0.55,4.45
5450,0.2,295.7,333.6,0,0
5451,3,637.8,777.6,-0.3,-37.88
5452,1.7,491,802.4,-0.3,-37.88
5453,0.5,405.3,613.5,-0.3,-37.88
5454,4.2,671.8,839.8,-0.3,-37.88
5455,0.9,513.6,788.5,-0.3,-37.88
5456,0.4,518.8,766.4,0.3,37.88
5457,2.7,600.2,842.9,0.3,37.88
5458,4,696.1,782.8,0.3,37.88
5459,1.8,557.2,800.2,0.3,37.88
5460,2.9,521.2,818.9,0.3,37.88
5461,0,0,0,0,0
5462,0,0,0,0,0
5463,0,0,0,0,0
5464,0,0,0,0,0
5465,0,0,0,0,0
5466,0,0,0,0,0
5467,0,0,0,0,0
5468,0,0,0,0,0
5469,0,0,0,0,0
5470,0,0,0,0,0
5471,5.8,258.6,409.3,-0.8,-53.52
5472,1.7,281.9,387.7,-0.8,-53.52
5473,8.1,363.5,451.5,-0.8,-53.52
5474,0.8,172,228.2,-0.8,-53.52
5475,3.8,190.6,161.8,-0.8,-53.52
5476,7.8,342.5,476,0.8,53.52
5477,1.2,281,301.6,0.8,53.52
5478,8.9,431.8,386.1,0.8,53.52
5479,0.3,335.1,326.1,0.8,53.52
5480,6,357.6,416.3,0.8,53.52
5481,1.6,237,296.6,0,0
5482,7.4,436.8,306.3,0,0
5483,8.4,376.4,527,0,0
5484,8.1,549.4,480.2,0,0
5485,0.1,341.4,333.3,0,0
5486,0.1,232.9,265,0,0
5487,6.3,260.1,437.2,0,0
5488,5.4,207.2,323.3,0,0
5489,0.9,249.3,221.2,0,0
5490,6.5,333.5,257.5,0,0
5491,8.7,286.3,487.1,0,0
5492,0.8,382.5,360,0.7,9.1
5493,8.2,288.5,340.4,0.2,1.65
5494,1.1,173.1,222.8,0.2,1.65
5495,5.9,254.6,392.8,0,0
5496,0.1,391.1,350.9,-0.7,-9.1
5497,8.1,306.2,449.2,0,0
5498,8.3,372,494.7,0,0
5499,7.9,267.2,293.2,-0.2,-1.65
5500,1,165.3,266.7,-0.2,-1.65
5501,6,248.1,402.5,-1.8,-54.7
5502,1,357.4,356.2,0,0
5503,1.1,269,255.4,0.7,49.6
5504,6.4,255.8,371.8,0,0
5505,8.6,402.8,372.4,0.7,49.6
5506,7.3,335.7,312.2,-0.7,-49.6
5507,6.6,458.4,423.3,0,0
5508,1,226.9,216.4,-0.7,-49.6
5509,0.4,305.6,286.9,0,0
5510,7.8,313,457.2,1.8,54.7
5511,7.2,388.4,499.2,-2.6,-57.3
5512,6.7,253.8,386.3,0,0
5513,1.3,243,257.5,1.35,36.05
5514,8.6,346.9,359.9,1.35,36.05
5515,1.7,395.2,371.9,0,0
5516,0.5,336.9,398.5,0,0
5517,1.1,136.6,246.3,-1.35,-36.05
5518,6.1,221.6,299,-1.35,-36.05
5519,9.8,320.8,556.5,2.6,57.3
5520,6.7,313.3,418.6,0,0
5521,6.2,305.8,448,-1.9,-39.4
5522,0.9,405.5,467,0,129.5
5523,7.3,293.6,313.2,1.3,46.05
5524,1.8,237.6,283.6,1.3,46.05
5525,7.3,240.3,423.8,-4.44E-16,-27.5
5526,1.3,214.8,261.7,-1.3,-46.05
5527,5.2,262.8,243,-1.3,-46.05
5528,0.9,315.1,337.5,0,-129.5
5529,8.1,291.1,487.4,1.9,39.4
5530,7.3,303.6,451.3,4.44E-16,27.5
5531,5.7,308.6,314.4,-0.58,17.5
5532,1.4,240,280.1,-0.58,17.5
5533,9.2,319.6,506.2,-0.58,17.5
5534,7.2,287,479.8,-0.58,17.5
5535,0.4,334,378.5,-0.58,17.5
5536,9.6,299,507.5,0.58,-17.5
5537,9,324.1,522.5,0.58,-17.5
5538,0,264.2,269.7,0.58,-17.5
5539,1.5,249.4,250.6,0.58,-17.5
5540,6.7,321.7,321.2,0.58,-17.5
5541,0.4,299.7,292.6,0,0
5542,6.3,233.8,380.8,0,0
5543,6.4,282.4,303.1,0.85,-13.5
5544,1.8,186.7,216.5,0.85,-13.5
5545,7,241.8,404.3,-0.2,-79
5546,0.4,292.4,240.2,-0.85,13.5
5547,6.1,307.7,306.4,-0.85,13.5
